depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,axitinib (GDSC2:1021),obatoclax (GDSC2:1068),gemcitabine (GDSC2:1190),lapatinib (GDSC2:1558),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),topotecan (GDSC2:1808),teniposide (GDSC2:1809),dactinomycin (GDSC2:1811),Dihydrorotenone (GDSC2:1827),Sabutoclax (GDSC2:1849),buparlisib (GDSC2:1873),dactinomycin (GDSC2:1911),AZD6738 (GDSC2:1917),cediranib (GDSC2:1922),I-BRD9 (GDSC2:1928),MIRA-1 (GDSC2:1931),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),YM-155 (GDSC2:1941),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),AZD6482 (GDSC2:2169),JQ1-(+) (GDSC2:2172)
ACH-000330,EFM19,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,0.482089698,,-3.092564062,,,,-1.103390367,2.50028541,1.907457825,-8.796301757,,2.724495002,,,,1.605185106,-1.957712069,3.001081666,2.160964859,,,-2.174776664,,,-5.032571977,3.498056115
ACH-000117,EFM192A,Breast,Breast Adenocarcinoma,ERpos HER2pos,HER2 Amp,-0.098169994,-4.2136466,-3.140651293,,2.8579491,,-4.941068242,0.633666429,-3.280925594,-7.212271929,,3.89130866,,-2.526595436,,1.120206416,0.543718876,3.004706548,0.718703059,-0.81884228,-8.222672278,-2.642296526,-5.763994652,11.84766508,-3.878920997,3.981049842
ACH-001065,EVSAT,Breast,Breast Carcinoma,,,0.607901779,,-5.153953884,-1.887488296,2.312522641,2.450778872,-0.179826272,,1.043911608,,,,,0.872301602,-0.656970243,3.89555614,-0.902933955,,,,,0.219375005,,11.19093059,-3.896767526,3.938759027
ACH-000374,HCC1143,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,2.702537729,2.29233754,,,0.721864111,,,3.205929014,,0.761774693,,3.928041901,-0.036185239,3.084026464,0.861075089,,,-1.260006263,,9.812764718,-4.925053159,3.991393113
ACH-000111,HCC1187,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,-2.169459495,,,-0.646576014,2.75111778,2.472582661,-0.34835281,,1.896717377,-7.314625031,,3.459383831,,-0.37459443,,,0.572258682,,4.271416988,,,1.672842742,,11.72819756,,3.717776267
ACH-000699,HCC1395,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,,,,3.104735392,,,,0.158013825,-7.708569076,,,,-0.799463308,-1.978390293,2.688422653,2.411534284,,0.620932213,,-8.675534849,1.759148869,,11.7758271,-1.882224098,
ACH-000277,HCC1419,Breast,Breast Ductal Carcinoma,ERpos HER2pos,HER2 Amp,1.161570937,,-3.611651635,,,,-0.500757603,,2.099711082,,,2.649743701,,-0.662467677,0.179486598,,1.003437777,4.02327365,1.487219278,,,1.952540457,-4.258208735,,-4.731762835,
ACH-000352,HCC1428,Breast,Breast Carcinoma,ERpos HER2neg,Luminal,-0.599888233,,,-0.963946838,,,-0.705425637,,2.079777946,,,3.104531744,,0.130090303,-1.734982891,3.922810972,2.742737973,,3.917613216,,-7.054503091,-1.461627406,,,-6.194758222,
ACH-000349,HCC1500,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,0.911312679,,-2.937993571,,,3.00644542,-1.377214548,,-0.198723897,,,1.879581744,,1.449861484,,2.698562902,-0.184323133,,1.248278472,,-6.929830036,-0.600736448,,,-4.13732902,3.596903013
ACH-000930,HCC1569,Breast,Breast Carcinoma,ERneg HER2pos,Basal A,2.623213182,,,,3.200816238,,-2.577786007,3.083011079,0.094229724,-4.884284251,,2.87496498,,-1.428498884,-1.680465403,2.58096967,0.063574694,3.9064684,2.234481887,,-7.884735509,,-5.37262772,11.78234004,-4.162224532,3.916959163
